plot,taxon,species,cover
A15,Anthyllis vulneraria,Anthyllis vulneraria,1
C10,Anthyllis vulneraria,Anthyllis vulneraria,1
D14,Anthyllis vulneraria,Anthyllis vulneraria,0.1
C14,Anthyllis vulneraria,Anthyllis vulneraria,1
A18,Anthyllis vulneraria,Anthyllis vulneraria,1
C01,Anthyllis vulneraria,Anthyllis vulneraria,1
B01,Anthyllis vulneraria,Anthyllis vulneraria,10
B06,Anthyllis vulneraria,Anthyllis vulneraria,5
D13,Anthyllis vulneraria,Anthyllis vulneraria,0.1
C15,Anthyllis vulneraria,Anthyllis vulneraria,5
B10,Anthyllis vulneraria,Anthyllis vulneraria,1
B12,Arabis alpina,Arabis alpina,0.1
B02,Arabis alpina,Arabis alpina,1
B03,Arabis alpina,Arabis alpina,5
C19,Arabis alpina,Arabis alpina,0.1
B17,Arabis alpina,Arabis alpina,1
C08,Arabis alpina,Arabis alpina,0.1
C18,Arabis alpina,Arabis alpina,0.1
C14,Arabis alpina,Arabis alpina,0.1
C09,Arabis alpina,Arabis alpina,0.1
B16,Arabis alpina,Arabis alpina,1
B14,Arabis alpina,Arabis alpina,1
D09,Arabis alpina,Arabis alpina,1
D16,Arenaria erinacea,Arenaria erinacea,1
D06,Arenaria erinacea,Arenaria erinacea,5
D05,Arenaria erinacea,Arenaria erinacea,1
D02,Arenaria erinacea,Arenaria erinacea,1
D17,Arenaria erinacea,Arenaria erinacea,0.1
D11,Arenaria erinacea,Arenaria erinacea,5
B16,Arenaria grandiflora,Arenaria grandiflora,0.1
A20,Arenaria grandiflora,Arenaria grandiflora,1
C18,Arenaria grandiflora,Arenaria grandiflora,1
A19,Arenaria grandiflora,Arenaria grandiflora,0.1
A09,Arenaria grandiflora,Arenaria grandiflora,0.1
C06,Arenaria grandiflora,Arenaria grandiflora,1
C20,Arenaria grandiflora,Arenaria grandiflora,1
A06,Arenaria grandiflora,Arenaria grandiflora,0.1
B19,Arenaria grandiflora,Arenaria grandiflora,0.1
B03,Arenaria grandiflora,Arenaria grandiflora,1
C08,Arenaria grandiflora,Arenaria grandiflora,0.1
B02,Arenaria grandiflora,Arenaria grandiflora,0.1
B17,Arenaria grandiflora,Arenaria grandiflora,0.1
C07,Arenaria grandiflora,Arenaria grandiflora,0.1
B20,Arenaria grandiflora,Arenaria grandiflora,0.1
C18,Arenaria moehringioides,Arenaria moehringioides,0.1
C17,Arenaria moehringioides,Arenaria moehringioides,1
C11,Arenaria moehringioides,Arenaria moehringioides,0.1
B17,Arenaria moehringioides,Arenaria moehringioides,0.1
C06,Arenaria moehringioides,Arenaria moehringioides,1
C19,Arenaria moehringioides,Arenaria moehringioides,0.1
C04,Arenaria moehringioides,Arenaria moehringioides,0.1
C15,Arenaria moehringioides,Arenaria moehringioides,0.1
C08,Arenaria moehringioides,Arenaria moehringioides,0.1
C20,Arenaria moehringioides,Arenaria moehringioides,0.1
C13,Arenaria moehringioides,Arenaria moehringioides,0.1
C05,Arenaria moehringioides,Arenaria moehringioides,0.1
C16,Arenaria moehringioides,Arenaria moehringioides,0.1
A04,Arenaria purpurascens,Arenaria purpurascens,0.1
C15,Arenaria purpurascens,Arenaria purpurascens,1
D10,Arenaria purpurascens,Arenaria purpurascens,1
D01,Arenaria purpurascens,Arenaria purpurascens,1
B16,Arenaria purpurascens,Arenaria purpurascens,1
D08,Arenaria purpurascens,Arenaria purpurascens,1
D04,Arenaria purpurascens,Arenaria purpurascens,1
C16,Arenaria purpurascens,Arenaria purpurascens,1
C17,Arenaria purpurascens,Arenaria purpurascens,1
A08,Arenaria purpurascens,Arenaria purpurascens,1
B03,Arenaria purpurascens,Arenaria purpurascens,1
D18,Arenaria purpurascens,Arenaria purpurascens,1
A18,Arenaria purpurascens,Arenaria purpurascens,0.1
D17,Arenaria purpurascens,Arenaria purpurascens,0.1
D02,Arenaria purpurascens,Arenaria purpurascens,0.1
D03,Arenaria purpurascens,Arenaria purpurascens,1
A10,Arenaria purpurascens,Arenaria purpurascens,1
B14,Arenaria purpurascens,Arenaria purpurascens,5
B17,Arenaria purpurascens,Arenaria purpurascens,0.1
D20,Arenaria purpurascens,Arenaria purpurascens,0.1
D05,Arenaria purpurascens,Arenaria purpurascens,0.1
D07,Arenaria purpurascens,Arenaria purpurascens,1
B13,Arenaria purpurascens,Arenaria purpurascens,1
A11,Arenaria purpurascens,Arenaria purpurascens,1
B10,Arenaria purpurascens,Arenaria purpurascens,1
A19,Arenaria purpurascens,Arenaria purpurascens,0.1
D11,Arenaria purpurascens,Arenaria purpurascens,0.1
D04,Armeria cantabrica,Armeria cantabrica,1
B14,Armeria cantabrica,Armeria cantabrica,5
C19,Armeria cantabrica,Armeria cantabrica,10
B20,Armeria cantabrica,Armeria cantabrica,1
B16,Armeria cantabrica,Armeria cantabrica,1
B08,Armeria cantabrica,Armeria cantabrica,0.1
C16,Armeria cantabrica,Armeria cantabrica,1
B05,Armeria cantabrica,Armeria cantabrica,1
C08,Armeria cantabrica,Armeria cantabrica,1
C06,Armeria cantabrica,Armeria cantabrica,0.1
C09,Armeria cantabrica,Armeria cantabrica,1
D08,Armeria cantabrica,Armeria cantabrica,0.1
D06,Armeria cantabrica,Armeria cantabrica,0.1
B15,Armeria cantabrica,Armeria cantabrica,1
D09,Armeria cantabrica,Armeria cantabrica,0.1
B04,Armeria cantabrica,Armeria cantabrica,1
C14,Armeria cantabrica,Armeria cantabrica,1
B19,Armeria cantabrica,Armeria cantabrica,1
C20,Armeria cantabrica,Armeria cantabrica,5
A20,Armeria cantabrica,Armeria cantabrica,5
B13,Armeria cantabrica,Armeria cantabrica,1
D15,Armeria cantabrica,Armeria cantabrica,1
D18,Armeria cantabrica,Armeria cantabrica,1
D13,Armeria cantabrica,Armeria cantabrica,1
B18,Armeria cantabrica,Armeria cantabrica,15
D20,Armeria cantabrica,Armeria cantabrica,1
C05,Armeria cantabrica,Armeria cantabrica,20
D10,Armeria cantabrica,Armeria cantabrica,5
C18,Armeria cantabrica,Armeria cantabrica,10
D14,Armeria cantabrica,Armeria cantabrica,1
B02,Armeria cantabrica,Armeria cantabrica,1
D17,Armeria cantabrica,Armeria cantabrica,1
C17,Armeria cantabrica,Armeria cantabrica,5
B03,Armeria cantabrica,Armeria cantabrica,10
A03,Asplenium viride,Asplenium viride,0.1
B02,Botrychium lunaria,Botrychium lunaria,0.1
B17,Botrychium lunaria,Botrychium lunaria,0.1
C09,Carduus carlinoides,Carduus carlinoides,0.1
C16,Carex ornithopoda,Carex ornithopoda,1
C19,Carex ornithopoda,Carex ornithopoda,0.1
B17,Carex pulicaris,Carex pulicaris,1
D06,Carex sempervirens,Carex sempervirens,1
B12,Carex sempervirens,Carex sempervirens,5
A04,Carex sempervirens,Carex sempervirens,15
A03,Carex sempervirens,Carex sempervirens,1
D10,Carex sempervirens,Carex sempervirens,10
D18,Carex sempervirens,Carex sempervirens,1
D20,Carex sempervirens,Carex sempervirens,1
B16,Carex sempervirens,Carex sempervirens,10
B15,Carex sempervirens,Carex sempervirens,20
A16,Carex sempervirens,Carex sempervirens,30
D03,Carex sempervirens,Carex sempervirens,5
A07,Carex sempervirens,Carex sempervirens,10
B02,Carex sempervirens,Carex sempervirens,15
D04,Carex sempervirens,Carex sempervirens,10
A05,Carex sempervirens,Carex sempervirens,15
B01,Carex sempervirens,Carex sempervirens,10
B08,Carex sempervirens,Carex sempervirens,25
A10,Carex sempervirens,Carex sempervirens,40
D17,Carex sempervirens,Carex sempervirens,20
B13,Carex sempervirens,Carex sempervirens,5
B11,Carex sempervirens,Carex sempervirens,5
A18,Carex sempervirens,Carex sempervirens,30
B03,Carex sempervirens,Carex sempervirens,1
B09,Carex sempervirens,Carex sempervirens,5
A20,Carex sempervirens,Carex sempervirens,1
D12,Carex sempervirens,Carex sempervirens,20
A15,Carex sempervirens,Carex sempervirens,5
A08,Carex sempervirens,Carex sempervirens,1
A09,Carex sempervirens,Carex sempervirens,5
A14,Carex sempervirens,Carex sempervirens,1
A13,Carex sempervirens,Carex sempervirens,10
B07,Carex sempervirens,Carex sempervirens,10
B17,Carex sempervirens,Carex sempervirens,5
A17,Carex sempervirens,Carex sempervirens,20
B10,Carex sempervirens,Carex sempervirens,10
B14,Carex sempervirens,Carex sempervirens,10
D07,Carex sempervirens,Carex sempervirens,5
D05,Carex sempervirens,Carex sempervirens,1
A01,Carex sempervirens,Carex sempervirens,40
A12,Carex sempervirens,Carex sempervirens,1
D02,Cystopteris fragilis,Cystopteris fragilis,1
D09,Cystopteris fragilis,Cystopteris fragilis,0.1
D19,Cystopteris fragilis,Cystopteris fragilis,0.1
B20,Cystopteris fragilis,Cystopteris fragilis,0.1
A18,Dethawia splendens subsp. cantabrica,Dethawia splendens,5
D20,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
B02,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
D10,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
D12,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
A13,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
D17,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
B08,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
B09,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
A05,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
A16,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
A17,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
A07,Dethawia splendens subsp. cantabrica,Dethawia splendens,0.1
A15,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
A10,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
A14,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
D16,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
D15,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
B01,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
A19,Dethawia splendens subsp. cantabrica,Dethawia splendens,1
B15,Draba dedeana,Draba dedeana,0.1
D19,Epilobium anagallidifolium,Epilobium anagallidifolium,0.1
D12,Erigeron alpinus,Erigeron alpinus,0.1
A07,Erigeron alpinus,Erigeron alpinus,1
C16,Erigeron alpinus,Erigeron alpinus,0.1
A20,Erigeron alpinus,Erigeron alpinus,0.1
A06,Erigeron alpinus,Erigeron alpinus,0.1
B10,Erigeron alpinus,Erigeron alpinus,0.1
D14,Erigeron alpinus,Erigeron alpinus,1
C08,Erigeron alpinus,Erigeron alpinus,0.1
B02,Erigeron alpinus,Erigeron alpinus,0.1
A19,Erigeron alpinus,Erigeron alpinus,0.1
A10,Erigeron alpinus,Erigeron alpinus,0.1
A20,Eryngium bourgatii,Eryngium bourgatii,0.1
D12,Eryngium bourgatii,Eryngium bourgatii,0.1
D04,Eryngium bourgatii,Eryngium bourgatii,0.1
A15,Eryngium bourgatii,Eryngium bourgatii,0.1
A03,Erinus alpinus,Erinus alpinus,0.1
A08,Euphorbia pyrenaica,Euphorbia pyrenaica,0.1
A14,Euphorbia pyrenaica,Euphorbia pyrenaica,0.1
D11,Euphorbia pyrenaica,Euphorbia pyrenaica,1
D12,Euphorbia pyrenaica,Euphorbia pyrenaica,0.1
A03,Euphorbia pyrenaica,Euphorbia pyrenaica,1
A19,Euphorbia pyrenaica,Euphorbia pyrenaica,0.1
A07,Euphorbia pyrenaica,Euphorbia pyrenaica,1
C04,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
B01,Euphrasia salisburgensis,Euphrasia salisburgensis,1
C03,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
B11,Euphrasia salisburgensis,Euphrasia salisburgensis,1
C15,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
B08,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
C11,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
C12,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
C13,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
A01,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
C05,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
D05,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
A09,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
C06,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
C01,Euphrasia salisburgensis,Euphrasia salisburgensis,0.1
B17,Festuca glacialis,Festuca glacialis,5
A20,Festuca glacialis,Festuca glacialis,0.1
B19,Festuca glacialis,Festuca glacialis,1
C20,Festuca glacialis,Festuca glacialis,1
A19,Festuca glacialis,Festuca glacialis,0.1
C05,Festuca glacialis,Festuca glacialis,1
B05,Festuca glacialis,Festuca glacialis,1
C08,Festuca glacialis,Festuca glacialis,1
B03,Festuca glacialis,Festuca glacialis,1
D18,Festuca glacialis,Festuca glacialis,0.1
B18,Festuca glacialis,Festuca glacialis,5
C10,Festuca glacialis,Festuca glacialis,0.1
B20,Festuca glacialis,Festuca glacialis,1
B04,Festuca glacialis,Festuca glacialis,1
C09,Festuca glacialis,Festuca glacialis,1
C14,Festuca glacialis,Festuca glacialis,1
C15,Festuca glacialis,Festuca glacialis,1
C17,Festuca glacialis,Festuca glacialis,0.1
C18,Festuca glacialis,Festuca glacialis,5
C06,Festuca glacialis,Festuca glacialis,1
C19,Festuca glacialis,Festuca glacialis,5
A17,Festuca hystrix,Festuca hystrix,1
B11,Festuca hystrix,Festuca hystrix,10
D03,Festuca hystrix,Festuca hystrix,1
D02,Festuca hystrix,Festuca hystrix,1
A07,Festuca hystrix,Festuca hystrix,1
D01,Festuca hystrix,Festuca hystrix,5
A06,Festuca hystrix,Festuca hystrix,5
B06,Festuca hystrix,Festuca hystrix,0.1
D05,Festuca hystrix,Festuca hystrix,1
B12,Festuca hystrix,Festuca hystrix,0.1
D04,Festuca hystrix,Festuca hystrix,1
D16,Festuca hystrix,Festuca hystrix,0.1
D06,Festuca hystrix,Festuca hystrix,1
B01,Festuca hystrix,Festuca hystrix,5
A05,Festuca hystrix,Festuca hystrix,0.1
A04,Festuca hystrix,Festuca hystrix,1
B07,Festuca hystrix,Festuca hystrix,1
A04,Festuca gr. rubra,Festuca gr. rubra,5
D18,Festuca gr. rubra,Festuca gr. rubra,1
D20,Festuca gr. rubra,Festuca gr. rubra,5
D13,Festuca gr. rubra,Festuca gr. rubra,5
B12,Festuca gr. rubra,Festuca gr. rubra,1
B15,Festuca gr. rubra,Festuca gr. rubra,10
A17,Festuca gr. rubra,Festuca gr. rubra,1
B16,Festuca gr. rubra,Festuca gr. rubra,10
D10,Festuca gr. rubra,Festuca gr. rubra,5
B02,Festuca gr. rubra,Festuca gr. rubra,15
A03,Festuca gr. rubra,Festuca gr. rubra,1
A06,Festuca gr. rubra,Festuca gr. rubra,5
D14,Festuca gr. rubra,Festuca gr. rubra,0.1
A14,Festuca gr. rubra,Festuca gr. rubra,1
A18,Festuca gr. rubra,Festuca gr. rubra,0.1
B10,Festuca gr. rubra,Festuca gr. rubra,15
A05,Festuca gr. rubra,Festuca gr. rubra,5
D12,Festuca gr. rubra,Festuca gr. rubra,5
A07,Festuca gr. rubra,Festuca gr. rubra,1
A15,Festuca gr. rubra,Festuca gr. rubra,0.1
A12,Festuca gr. rubra,Festuca gr. rubra,1
B03,Festuca gr. rubra,Festuca gr. rubra,0.1
A10,Festuca gr. rubra,Festuca gr. rubra,5
B17,Festuca gr. rubra,Festuca gr. rubra,1
B07,Festuca gr. rubra,Festuca gr. rubra,10
A08,Festuca gr. rubra,Festuca gr. rubra,1
D06,Festuca gr. rubra,Festuca gr. rubra,1
B13,Festuca gr. rubra,Festuca gr. rubra,1
B14,Festuca gr. rubra,Festuca gr. rubra,10
A13,Festuca gr. rubra,Festuca gr. rubra,1
A09,Festuca gr. rubra,Festuca gr. rubra,5
D17,Festuca gr. rubra,Festuca gr. rubra,1
D07,Festuca gr. rubra,Festuca gr. rubra,10
A01,Festuca gr. rubra,Festuca gr. rubra,1
B09,Festuca gr. rubra,Festuca gr. rubra,5
D09,Festuca gr. rubra,Festuca gr. rubra,10
D15,Festuca gr. rubra,Festuca gr. rubra,5
D03,Festuca gr. rubra,Festuca gr. rubra,5
D08,Festuca gr. rubra,Festuca gr. rubra,5
B17,Festuca picoeuropeana,Festuca picoeuropeana,1
D11,Festuca picoeuropeana,Festuca picoeuropeana,1
D16,Festuca picoeuropeana,Festuca picoeuropeana,5
C14,Festuca picoeuropeana,Festuca picoeuropeana,0.1
D07,Festuca picoeuropeana,Festuca picoeuropeana,0.1
D01,Festuca picoeuropeana,Festuca picoeuropeana,0.1
D02,Festuca picoeuropeana,Festuca picoeuropeana,1
D04,Festuca picoeuropeana,Festuca picoeuropeana,1
D10,Galium pumilum,Galium pumilum,1
D20,Galium pumilum,Galium pumilum,1
C12,Galium pyrenaicum,Galium pyrenaicum,1
C15,Galium pyrenaicum,Galium pyrenaicum,1
C05,Galium pyrenaicum,Galium pyrenaicum,0.1
C08,Galium pyrenaicum,Galium pyrenaicum,0.1
C11,Galium pyrenaicum,Galium pyrenaicum,1
C01,Galium pyrenaicum,Galium pyrenaicum,1
B06,Galium pyrenaicum,Galium pyrenaicum,1
C04,Galium pyrenaicum,Galium pyrenaicum,0.1
C03,Galium pyrenaicum,Galium pyrenaicum,0.1
C07,Galium pyrenaicum,Galium pyrenaicum,0.1
C02,Galium pyrenaicum,Galium pyrenaicum,1
A15,Genista legionensis,Genista legionensis,5
A12,Genista legionensis,Genista legionensis,10
A14,Genista legionensis,Genista legionensis,1
B12,Gentiana nivalis,Gentiana nivalis,0.1
C12,Gentiana nivalis,Gentiana nivalis,0.1
B15,Gentiana nivalis,Gentiana nivalis,0.1
B11,Gentiana nivalis,Gentiana nivalis,0.1
A10,Gentiana nivalis,Gentiana nivalis,1
C06,Gentiana nivalis,Gentiana nivalis,1
B10,Gentiana nivalis,Gentiana nivalis,0.1
D03,Gentiana nivalis,Gentiana nivalis,0.1
B17,Gentiana nivalis,Gentiana nivalis,0.1
C13,Gentiana nivalis,Gentiana nivalis,0.1
B09,Gentiana nivalis,Gentiana nivalis,0.1
B01,Gentiana nivalis,Gentiana nivalis,0.1
B13,Gentiana nivalis,Gentiana nivalis,0.1
B07,Gentiana nivalis,Gentiana nivalis,1
B02,Gentiana nivalis,Gentiana nivalis,0.1
B16,Gentiana nivalis,Gentiana nivalis,0.1
A01,Gentiana nivalis,Gentiana nivalis,0.1
C05,Gentiana nivalis,Gentiana nivalis,0.1
D20,Gentiana nivalis,Gentiana nivalis,1
C09,Gentiana nivalis,Gentiana nivalis,1
C16,Gentiana nivalis,Gentiana nivalis,1
A18,Gentiana verna,Gentiana verna,0.1
A17,Gentiana verna,Gentiana verna,0.1
A13,Gentiana verna,Gentiana verna,5
A10,Gentiana verna,Gentiana verna,1
A16,Gentiana verna,Gentiana verna,1
A01,Gentiana verna,Gentiana verna,0.1
C07,Gentiana verna,Gentiana verna,1
A05,Gentianella campestris,Gentianella campestris,1
B06,Gypsophila repens,Gypsophila repens,10
A17,Gypsophila repens,Gypsophila repens,10
A16,Gypsophila repens,Gypsophila repens,1
A03,Gypsophila repens,Gypsophila repens,1
B07,Gypsophila repens,Gypsophila repens,1
B08,Gypsophila repens,Gypsophila repens,0.1
A20,Gypsophila repens,Gypsophila repens,0.1
A06,Gypsophila repens,Gypsophila repens,1
A07,Gypsophila repens,Gypsophila repens,1
A09,Gypsophila repens,Gypsophila repens,0.1
B12,Gypsophila repens,Gypsophila repens,0.1
D17,Helianthemum apenninum subsp. cantabricum,Helianthemum apenninum subsp. cantabricum,0.1
A18,Helianthemum canum,Helianthemum canum,5
D01,Helianthemum canum,Helianthemum canum,1
D05,Helianthemum canum,Helianthemum canum,10
A15,Helianthemum canum,Helianthemum canum,1
D11,Helianthemum canum,Helianthemum canum,10
D04,Helianthemum canum,Helianthemum canum,5
C11,Helianthemum canum,Helianthemum canum,0.1
B09,Helianthemum canum,Helianthemum canum,1
B02,Helianthemum canum,Helianthemum canum,1
B15,Helianthemum canum,Helianthemum canum,1
B05,Helianthemum canum,Helianthemum canum,0.1
A17,Helianthemum canum,Helianthemum canum,5
A13,Helianthemum canum,Helianthemum canum,5
B01,Helianthemum canum,Helianthemum canum,15
A12,Helianthemum canum,Helianthemum canum,5
A01,Helianthemum canum,Helianthemum canum,1
D06,Helianthemum canum,Helianthemum canum,15
B11,Helianthemum canum,Helianthemum canum,10
A10,Helianthemum canum,Helianthemum canum,5
A16,Helianthemum canum,Helianthemum canum,5
B06,Helianthemum canum,Helianthemum canum,5
A05,Helianthemum canum,Helianthemum canum,15
A06,Helianthemum canum,Helianthemum canum,0.1
A14,Helianthemum canum,Helianthemum canum,1
C02,Helianthemum canum,Helianthemum canum,1
A09,Helianthemum canum,Helianthemum canum,1
D16,Helianthemum canum,Helianthemum canum,5
D03,Helianthemum canum,Helianthemum canum,1
A19,Helianthemum canum,Helianthemum canum,5
D02,Helianthemum canum,Helianthemum canum,1
A07,Helianthemum canum,Helianthemum canum,1
B12,Helianthemum canum,Helianthemum canum,15
B07,Helianthemum canum,Helianthemum canum,15
C01,Helianthemum canum,Helianthemum canum,1
A04,Helianthemum canum,Helianthemum canum,10
B13,Helianthemum canum,Helianthemum canum,5
A20,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,10
B11,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
D12,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
D20,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
D07,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
A14,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
B09,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
B10,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,10
D10,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
A13,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
B16,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
D03,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
C16,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,20
D08,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,10
B04,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
B17,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
C13,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
A15,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,0.1
D17,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
D18,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,10
B03,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,10
B14,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
B05,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
D13,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,5
D15,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
A08,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,1
